Family,Genus,Species,Body mass (g),Bill length (mm),Tarsus length (mm),Middle Toe length (mm),Tarsometatarsus+middle toe length (mm),Midpoint latitude (degrees from equator),Midpoint altitude (m),Minimum temperature at midpoint of range (degrees Celsius),References
Estrildidae,Emblema,pictum,10.4,12.9,14.3,,,23.5,,15.29,"Dunning (2007), Higgins et al. (2006), Barrett et al. (2003)"
Estrildidae,Eryhtrura,gouldiae,13.8,11.6,14.1,,,16.5,,19.28,"Dunning (2007), Higgins et al. (2006), Barrett et al. (2003)"
Estrildidae,Erythrura,trichroa,14.8,10.9,17,,,17,,19.59,"Dunning (2007), Higgins et al. (2006), Barrett et al. (2003)"
Estrildidae,Heteromunia,pectoralis,14.6,13.3,15.1,,,18,,19.03,"Dunning (2007), Higgins et al. (2006), Barrett et al. (2003)"
Estrildidae,Lonchura,castaneothorax,13.6,12.4,15.5,,,22,,17.51,"Dunning (2007), Higgins et al. (2006), Barrett et al. (2003)"
Estrildidae,Lonchura,flaviprymna,11.8,13.1,15.4,,,15,,20.15,"Dunning (2007), Higgins et al. (2006), Barrett et al. (2003)"
Estrildidae,Lonchura,punctulata,13.6,12.3,15.8,,,22.5,,15.8,"Dunning (2007), Higgins et al. (2006), Barrett et al. (2003)"
Estrildidae,Neochmia,modesta,12.3,10.4,14.7,,,26.5,,11.82,"Dunning (2007), Higgins et al. (2006), Barrett et al. (2003)"
Estrildidae,Neochmia,phaeton,10,12,14.9,,,16.5,,19.53,"Dunning (2007), Higgins et al. (2006), Barrett et al. (2003)"
Estrildidae,Neochmia,ruficauda,11.7,11.6,15.2,,,19.5,,17.73,"Dunning (2007), Higgins et al. (2006), Barrett et al. (2003)"
Estrildidae,Neochmia,temporalis,11.4,10.7,14.8,,,26,,13.71,"Dunning (2007), Higgins et al. (2006), Barrett et al. (2003)"
Estrildidae,Poephila,acuticauda,14,12.1,15.1,,,16.5,,19.64,"Dunning (2007), Higgins et al. (2006), Barrett et al. (2003)"
Estrildidae,Poephila,cincta,14.9,12,15.3,,,18,,17.11,"Dunning (2007), Higgins et al. (2006), Barrett et al. (2003)"
Estrildidae,Poephila,personata,13,11.9,15.3,,,16.5,,19.27,"Dunning (2007), Higgins et al. (2006), Barrett et al. (2003)"
Estrildidae,Stagonopleura,bella,14,12.3,16.6,,,39,,8.52,"Dunning (2007), Higgins et al. (2006), Barrett et al. (2003)"
Estrildidae,Stagonopleura,guttata,17.6,11.8,16.2,,,33,,11.19,"Dunning (2007), Higgins et al. (2006), Barrett et al. (2003)"
Estrildidae,Stagonopleura,oculata,12.9,13.2,17.7,,,34,,9.81,"Dunning (2007), Higgins et al. (2006), Barrett et al. (2003)"
Estrildidae,Taeniopygia,bichenovii,9.6,10.4,13.6,,,26.5,,16.09,"Dunning (2007), Higgins et al. (2006), Barrett et al. (2003)"
Estrildidae,Taeniopygia,guttata,12.2,10.1,14.3,,,24.5,,13.05,"Dunning (2007), Higgins et al. (2006), Barrett et al. (2003)"
Galliformes,Bonasa,umbellus,498,15.4,43.3,,,57.75,,-10.5,"Dunning (2007), Godfrey (1986)"
Galliformes,Callipepla,californica,159.4,12.4,31.9,,,48.79,,5.69,"Dunning (2007), Godfrey (1986)"
Galliformes,Centrocercus,urophasianus,1693,35.1,56.4,,,49.3,,-3.56,"Dunning (2007), Godfrey (1986)"
Galliformes,Colinus,virginianus,177.3,13.8,32.6,,,45.515,,-0.22,"Dunning (2007), Godfrey (1986)"
Galliformes,Dendragapus,canadensis,456,15.2,36.9,,,55.73,,-7.61,"Dunning (2007), Godfrey (1986)"
Galliformes,Dendragapus,obscurus,905,19.7,45.5,,,55.75,,-4.73,"Dunning (2007), Godfrey (1986)"
Galliformes,Lagopus,lagopus,498.3,14.1,36.4,,,63.5,,-15.69,"Dunning (2007), Godfrey (1986)"
Galliformes,Lagopus,leucurus,351,13.6,30.9,,,56.85,,-8.18,"Dunning (2007), Godfrey (1986)"
Galliformes,Lagopus,mutus,550,12.8,32.2,,,66.1,,-18.37,"Dunning (2007), Godfrey (1986)"
Galliformes,Meleagris,gallopavo,4300,34.8,162.6,,,43.415,,2.36,"Dunning (2007), Godfrey (1986)"
Galliformes,Oreortyx,pictus,233,16.9,36.3,,,48.69,,5.23,"Dunning (2007), Godfrey (1986)"
Galliformes,Tympanuchus,cupido,783.2,17.7,49.8,,,51.25,,-3.88,"Dunning (2007), Godfrey (1986)"
Galliformes,Tympanuchus,phasianellus,817,16.2,44.9,,,58.8,,-7.66,"Dunning (2007), Godfrey (1986)"
Laridae,Creagrus,furcatus,687,50.4,,,100,1.50,,24.55,"Nudds and Oswald (2007), Agreda and Anderson (2003)"
Laridae,Larus,argentatus,1135,48.9,,,111,57.08,,0.81,"Nudds and Oswald (2007), Lislevand et al. (2007)"
Laridae,Larus,atricilla,325,38.9,,,82,28.23,,24.06,"Nudds and Oswald (2007), Lislevand et al. (2007)"
Laridae,Larus,californicus,691,47.8,,,103,49.24,,2.3,"Nudds and Oswald (2007), Lislevand et al. (2007)"
Laridae,Larus,canus,404,31.1,,,87,57.66,,3.47,"Nudds and Oswald (2007), Lislevand et al. (2007)"
Laridae,Larus,delawarensis,519,37.2,,,95,49.14,,1.13,"Nudds and Oswald (2007), Lislevand et al. (2007)"
Laridae,Larus,dominicanus,900,52.5,,,109,36.93,,5.35,"Nudds and Oswald (2007), Lislevand et al. (2007)"
Laridae,Larus,fuscus,766,47.7,,,114,58.23,,3.06,"Nudds and Oswald (2007), Lislevand et al. (2007)"
Laridae,Larus,genei,281,39.9,,,89,34.70,,16.46,"Nudds and Oswald (2007), Lislevand et al. (2007)"
Laridae,Larus,glaucescens,1010,57,,,,52.05,,9.55,"Nudds and Oswald (2007), Lislevand et al. (2007)"
Laridae,Larus,glaucoides,863,41.9,,,86,67.43,,-4.54,"Nudds and Oswald (2007), Lislevand et al. (2007)"
Laridae,Larus,hemprichii,455,46.9,,,,13.18,,22.37,"Nudds and Oswald (2007), Lislevand et al. (2007)"
Laridae,Larus,hyperboreus,1413,58.2,,,135,68.68,,-0.43,"Nudds and Oswald (2007), Lislevand et al. (2007)"
Laridae,Larus,ichthyatus,1407,55.8,,,128,44.37,,-1.42,"Nudds and Oswald (2007), Lislevand et al. (2007)"
Laridae,Larus,marinus,1659,59.8,,,145,57.41,,1.78,"Nudds and Oswald (2007), Lislevand et al. (2007)"
Laridae,Larus,melanocephalus,256,34,,,87,45.30,,15.29,"Nudds and Oswald (2007), Lislevand et al. (2007)"
